Make,Year,Model,Recharge_Time_hr,Range_km
TESLA,2017,MODEL S 100D,12,539
TESLA,2016,MODEL S P100D,12,507
TESLA ,2017,MODEL S P100D,12,507
TESLA,2016,MODEL S 90D (Refresh),12,473
TESLA,2017,MODEL S 90D,12,473
TESLA,2016,MODEL X P100D,12,465
TESLA ,2017,MODEL X P100D,12,465
TESLA,2015,MODEL S 85D/90D,12,435
TESLA,2016,MODEL S 85D/90D,12,435
TESLA,2016,MODEL S P90D (Refresh),12,435
TESLA,2017,MODEL S P90D,12,435
TESLA,2013,MODEL S (85 kWh battery),12,426
TESLA,2013,MODEL S PERFORMANCE,12,426
TESLA,2014,MODEL S (85 kWh battery),12,426
TESLA,2014,MODEL S PERFORMANCE,12,426
TESLA,2015,MODEL S (85/90 kWh battery),12,426
TESLA,2016,MODEL S (85/90 kWh battery),12,426
TESLA,2016,MODEL S 75D,12,417
TESLA,2017,MODEL S 75D,12,417
TESLA,2016,MODEL X 90D,12,414
TESLA ,2017,MODEL X 90D,12,414
TESLA,2015,MODEL S P85D/P90D,12,407
TESLA,2016,MODEL S P85D/P90D,12,407
TESLA,2016,MODEL X P90D,12,402
TESLA ,2017,MODEL X P90D,12,402
TESLA,2016,MODEL S (75 kWh battery),12,401
TESLA,2017,MODEL S (75 kWh battery),12,401
TESLA,2015,MODEL S 70D,12,386
TESLA,2016,MODEL S 70D,12,386
TESLA,2016,MODEL X 75D,12,383
CHEVROLET,2017,BOLT EV,9.3,383
TESLA ,2017,MODEL X 75D,12,383
TESLA,2015,MODEL S (70 kWh battery),12,377
TESLA,2016,MODEL S (70 kWh battery),12,377
TESLA,2016,MODEL S 60D,10,351
TESLA,2017,MODEL S 60D,10,351
TESLA,2016,MODEL S (60 kWh battery from 6/16),10,338
TESLA,2017,MODEL S (60 kWh battery),10,338
TESLA,2013,MODEL S (60 kWh battery),10,335
TESLA,2014,MODEL S (60 kWh battery),10,335
TESLA,2015,MODEL S (60 kWh battery),10,335
TESLA,2016,MODEL S (60 kWh battery pre- 6/16),10,335
TESLA ,2016,MODEL X 60D,10,322
TESLA ,2017,MODEL X 60D,10,322
TESLA,2013,MODEL S (40 kWh battery),6,224
FORD,2017,FOCUS ELECTRIC,5.5,185
BMW,2017,i3 (94 Ah),5,183
NISSAN,2016,LEAF (30 kWh battery),6,172
NISSAN,2017,LEAF,6,172
BMW,2017,i3 REX (94 Ah),5,156
KIA,2017,SOUL EV,4,150
KIA,2015,SOUL EV,4,149
KIA,2016,SOUL EV,4,149
NISSAN,2014,LEAF,5,135
NISSAN,2015,LEAF,5,135
NISSAN,2016,LEAF (24 kWh battery),5,135
CHEVROLET,2014,SPARK EV,7,131
CHEVROLET,2015,SPARK EV,7,131
CHEVROLET,2016,SPARK EV,7,131
BMW,2015,i3,4,130
BMW,2016,i3,4,130
BMW,2017,i3 (60 Ah),4,130
FORD,2013,FOCUS ELECTRIC,4,122
FORD,2014,FOCUS ELECTRIC,4,122
FORD,2015,FOCUS ELECTRIC,4,122
FORD,2016,FOCUS ELECTRIC,4,122
NISSAN,2012,LEAF,7,117
NISSAN,2013,LEAF,7,117
BMW,2015,i3 REX,4,116
BMW,2016,i3 REX,4,116
SMART,2013,FORTWO ELECTRIC DRIVE CABRIOLET,8,109
SMART,2013,FORTWO ELECTRIC DRIVE COUPE,8,109
SMART,2014,FORTWO ELECTRIC DRIVE CABRIOLET,8,109
SMART,2014,FORTWO ELECTRIC DRIVE COUPE,8,109
SMART,2015,FORTWO ELECTRIC DRIVE CABRIOLET,8,109
SMART,2015,FORTWO ELECTRIC DRIVE COUPE,8,109
SMART,2016,FORTWO ELECTRIC DRIVE CABRIOLET,8,109
SMART,2016,FORTWO ELECTRIC DRIVE COUPE,8,109
MITSUBISHI,2012,i-MiEV,7,100
MITSUBISHI,2013,i-MiEV,7,100
MITSUBISHI,2014,i-MiEV,7,100
MITSUBISHI,2015,i-MiEV,7,100
MITSUBISHI,2016,i-MiEV,7,100
MITSUBISHI,2017,i-MiEV,7,100
,,,,
